epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,1003.38,2.8292,4.06796,3.8645,1.55784,0,0.25487,0.22847,0.13297,0.04919,0.21212,0.14486,0.07932,0.02524,2.67037,3.94658,3.46238,1.57828,0,0.000553186,0.000553186,0.000553186
2,1949.62,2.73325,3.7069,3.09494,1.4943,0,0.2384,0.21227,0.14757,0.05454,0.20353,0.17341,0.1018,0.02942,2.69077,3.85267,3.43538,1.64436,0,0.00109788,0.00109788,0.00109788
3,2879.24,2.72555,3.62053,2.79914,1.51342,0,0.22272,0.23628,0.14841,0.0492,0.18962,0.19153,0.11992,0.03812,2.66534,3.58146,3.55031,1.52564,0,0.00163156,0.00163156,0.00163156
4,3873.17,2.69974,3.55224,2.70557,1.48282,0,0.70205,0.16458,0.21581,0.08829,0.63351,0.15879,0.18448,0.06556,2.51935,3.37456,3.10381,1.527,0,0.00161749,0.00161749,0.00161749
5,4820.43,2.64502,3.49662,2.58556,1.47445,0,0.0589,0.34586,0.03377,0.01152,0.04743,0.29549,0.02084,0.00572,2.51487,3.33076,4.12449,1.49346,0,0.00160099,0.00160099,0.00160099
6,5739.28,2.61357,3.46098,2.5807,1.4796,0,0.24642,0.29816,0.23059,0.09497,0.25743,0.26562,0.20426,0.0693,2.49424,3.30681,2.4934,1.52024,0,0.00158448,0.00158448,0.00158448
7,6666.08,2.58012,3.42257,2.50187,1.45911,0,0.24027,0.3156,0.18679,0.07221,0.32961,0.20369,0.17481,0.06229,2.55933,3.27196,2.66363,1.55058,0,0.00156798,0.00156798,0.00156798
8,7594.73,2.56201,3.35386,2.48143,1.42507,0,0.77323,0.20463,0.2779,0.11183,0.7534,0.19498,0.22831,0.07855,2.43365,3.21099,2.55727,1.46325,0,0.00155148,0.00155148,0.00155148
9,8520.96,2.54942,3.3725,2.45721,1.4431,0,0.28342,0.289,0.24201,0.0937,0.25697,0.2505,0.20429,0.07441,2.50612,3.29243,2.49899,1.48731,0,0.00153497,0.00153497,0.00153497
10,9473.23,2.54219,3.35095,2.39947,1.44131,0,0.27484,0.34186,0.2634,0.10721,0.26362,0.31192,0.22768,0.08152,2.39857,3.1381,2.4039,1.45031,0,0.00151847,0.00151847,0.00151847
11,10448.1,2.47149,3.31297,2.39788,1.4079,0,0.40874,0.25311,0.25141,0.1049,0.37142,0.2323,0.23126,0.08508,2.52225,3.37043,2.6383,1.52519,0,0.00150197,0.00150197,0.00150197
12,11373.2,2.49507,3.2768,2.37735,1.40501,0,0.30863,0.31196,0.2485,0.10367,0.31971,0.30439,0.23935,0.09811,2.51732,3.10556,2.55809,1.53514,0,0.00148546,0.00148546,0.00148546
13,12298,2.46644,3.28519,2.38479,1.39011,0,0.37605,0.31985,0.32185,0.13303,0.3574,0.28787,0.26859,0.10073,2.38352,3.10367,2.226,1.43297,0,0.00146896,0.00146896,0.00146896
14,13224.7,2.4719,3.26297,2.32527,1.39142,0,0.78797,0.21238,0.26997,0.12482,0.77919,0.20656,0.23753,0.09925,2.35298,3.17854,2.44105,1.40575,0,0.00145246,0.00145246,0.00145246
15,14151.5,2.45035,3.26855,2.31542,1.37823,0,0.32764,0.36921,0.31235,0.13052,0.31898,0.31582,0.25958,0.09783,2.40306,3.12258,2.23766,1.46539,0,0.00143595,0.00143595,0.00143595
16,15069.5,2.42058,3.22153,2.30572,1.37771,0,0.35766,0.27059,0.25472,0.10506,0.50127,0.17038,0.22154,0.08516,2.48655,3.13655,2.48467,1.50972,0,0.00141945,0.00141945,0.00141945
17,15993.6,2.41989,3.21942,2.30745,1.37865,0,0.43591,0.31681,0.30433,0.12628,0.41125,0.28736,0.25066,0.08995,2.3526,3.0652,2.30809,1.34655,0,0.00140295,0.00140295,0.00140295
18,16907.5,2.41917,3.2201,2.30956,1.36195,0,0.30832,0.30086,0.26105,0.12347,0.28921,0.27801,0.233,0.1029,2.3947,3.07824,2.32948,1.45001,0,0.00138644,0.00138644,0.00138644
19,17832.3,2.43656,3.22162,2.28344,1.37362,0,0.34291,0.32595,0.29994,0.13077,0.31132,0.27294,0.23827,0.09481,2.32564,3.07693,2.31581,1.38465,0,0.00136994,0.00136994,0.00136994
20,18749.4,2.41564,3.18681,2.26194,1.36719,0,0.7684,0.2256,0.27575,0.12404,0.7706,0.2179,0.24613,0.09635,2.36504,3.18904,2.59057,1.39514,0,0.00135344,0.00135344,0.00135344
21,19673.7,2.38053,3.1466,2.25572,1.34884,0,0.38845,0.34184,0.30962,0.12905,0.48508,0.24475,0.2637,0.09741,2.36488,3.02474,2.39692,1.39981,0,0.00133693,0.00133693,0.00133693
22,20595.7,2.37796,3.17018,2.22271,1.35103,0,0.35142,0.36643,0.30361,0.13295,0.53332,0.21476,0.2605,0.10416,2.3573,3.08331,2.25356,1.4016,0,0.00132043,0.00132043,0.00132043
23,21540.3,2.37673,3.18854,2.26111,1.35624,0,0.71445,0.29694,0.33774,0.14649,0.68532,0.24158,0.2996,0.11526,2.2913,3.03854,2.28731,1.3923,0,0.00130393,0.00130393,0.00130393
24,22490.2,2.39428,3.15467,2.23412,1.34857,0,0.37213,0.3789,0.34051,0.15418,0.36771,0.32301,0.29401,0.11987,2.30167,3.0318,2.44427,1.41498,0,0.00128742,0.00128742,0.00128742
25,23440.5,2.38659,3.14711,2.23596,1.33364,0,0.35905,0.36027,0.33193,0.14332,0.35852,0.32242,0.29111,0.11082,2.30745,3.01976,2.21705,1.40035,0,0.00127092,0.00127092,0.00127092
26,24360.3,2.34325,3.13543,2.1623,1.33975,0,0.35285,0.39711,0.3611,0.15499,0.32113,0.3652,0.31117,0.11568,2.30733,2.98621,2.17578,1.38997,0,0.00125442,0.00125442,0.00125442
27,25265.9,2.35075,3.13025,2.17996,1.34012,0,0.39545,0.40031,0.35647,0.14606,0.36878,0.34506,0.30415,0.11627,2.30046,3.11461,2.14463,1.39386,0,0.00123791,0.00123791,0.00123791
28,26164,2.3533,3.10869,2.18035,1.33602,0,0.36792,0.35527,0.32823,0.14509,0.3569,0.29448,0.27051,0.10533,2.28688,2.97484,2.19242,1.35966,0,0.00122141,0.00122141,0.00122141
